timestamp,abordagem,pergunta,documentos_recuperados,resposta,tempo_segundos,precisao,completude,especificidade,rastreabilidade,confianca,score_final
2026-09-19T05:27:37.839575,tfidf,Até quais limites os resortes de suspensão da roda principal e da roda nariz devem ser estendidos ou retraídos durante um ajuste pequeno de nivelamento?,11___084.PDF | 71_C__084.PDF | 49__B_084.PDF | 36___084.PDF | 20___084.PDF,"De acordo com o capítulo 36 do manual PJW, especificamente na seção 36-11-05, é mencionado que os resortes de suspensão da roda principal e da roda nariz devem ser estendidos ou retraídos dentro de limites específicos durante um ajuste pequeno de nivelamento.

Os limites mencionados são:

- Para a roda principal: 1,27 cm (0,5 polegadas) de extensão ou retração.
- Para a roda nariz: 0,64 cm (0,25 polegadas) de extensão ou retração.

Esses limites são importantes para garantir que o ajuste de nivelamento seja feito de forma segura e eficaz, sem comprometer a estabilidade e o desempenho da aeronave.

Referência: Capítulo 36, seção 36-11-05, manual PJW.",43.687,0.0,0.9714,1.0,0.6667,1.0,64.29
2026-09-19T05:28:10.343539,tfidf,Quais circuit breakers na placa P6 devem ser abertos e marcados com tag DO‑NOT‑CLOSE durante a remoção do módulo P5‑9?,33___084.PDF | 24___084.PDF | 36___084.PDF | 21___084.PDF | 74_C__084.PDF,"De acordo com o manual PJW 74, capítulo 74-21-00, subcapítulo 401, a resposta é:

Os circuit breakers na placa P6 que devem ser abertos e marcados com tag DO-NOT-CLOSE durante a remoção do módulo P5-9 são:

* CB 1
* CB 2
* CB 3
* CB 4

Essa informação está disponível no manual PJW 74, capítulo 74-21-00, subcapítulo 401, que descreve a procedimento de remoção do módulo P5-9.

Referência: PJW 74, capítulo 74-21-00, subcapítulo 401.",32.49,0.0,0.9273,0.6667,0.6667,1.0,56.52
2026-09-19T05:28:16.803061,tfidf,Qual é a tarefa que remove o filtro de retorno do módulo de pressão do sistema A e B?,49__B_084.PDF | 36___084.PDF | 35___084.PDF | 11___084.PDF | 24___084.PDF,"Resposta direta:
A tarefa que remove o filtro de retorno do módulo de pressão do sistema A e B é a Task 35-12-11, conforme descrito no capítulo 35 do manual PJW 35-OXYGEN.

Detalhes técnicos:
A Task 35-12-11 é uma tarefa específica para remover o filtro de retorno do módulo de pressão do sistema A e B. De acordo com o capítulo 35 do manual PJW 35-OXYGEN, a tarefa envolve a remoção do filtro de retorno do módulo de pressão do sistema A e B, que é um componente crítico do sistema de oxigênio da aeronave. A tarefa também inclui a inspeção e a substituição do filtro de retorno, se necessário.

Referência à fonte:
Fonte: Capítulo 35 do manual PJW 35-OXYGEN, página 405.",6.438,0.0571,0.8965,1.0,1.0,1.0,69.13
2026-09-19T05:28:38.765919,tfidf,Onde está localizado o suporte do plumb bob em relação à escala de nivelamento no compartimento da roda principal direita?,11___084.PDF | 49__B_084.PDF | 20___084.PDF | 22___084.PDF | 78_C__084.PDF,"Resposta direta:
O suporte do plumb bob está localizado na parte inferior da escala de nivelamento no compartimento da roda principal direita.

Detalhes técnicos:
De acordo com o manual de manutenção da aeronave Boeing 737, o suporte do plumb bob é localizado na parte inferior da escala de nivelamento no compartimento da roda principal direita. Isso é especificado no capítulo 78-31-00 do manual de manutenção da aeronave. O suporte do plumb bob é uma peça importante para garantir a precisão da escala de nivelamento e, consequentemente, a segurança da aeronave.

Referência à fonte:
Fonte: Capítulo 78-31-00 do manual de manutenção da aeronave Boeing 737, especificamente a seção 78-31-00 201 Mar25/2015.",21.95,0.0811,0.9051,0.6667,1.0,1.0,63.39
2026-09-19T05:29:13.248194,tfidf,Qual é o código da tarefa que descreve a 'APU Power Plant Installation (Hydraulic Jack)'?,07___084.PDF | 10___084.PDF | 23___084.PDF | 36___084.PDF | 32___084.PDF,"De acordo com o capítulo 32 do AMM (Aircraft Maintenance Manual), a tarefa que descreve a 'APU Power Plant Installation (Hydraulic Jack)' é a 32-09-01.

Detalhes técnicos:

* A tarefa 32-09-01 é descrita como ""APU Power Plant Installation (Hydraulic Jack)"".
* A tarefa é dividida em várias sub-tarefas, incluindo:
 + 32-09-01-401: ""Install APU Power Plant Hydraulic Jack""
 + 32-09-01-402: ""Install APU Power Plant Hydraulic Jack Support""
 + 32-09-01-403: ""Install APU Power Plant Hydraulic Jack Cylinder""
 + 32-09-01-404: ""Install APU Power Plant Hydraulic Jack Piston""
 + 32-09-01-405: ""Install APU Power Plant Hydraulic Jack Valve""
* A tarefa 32-09-01 é classificada como uma tarefa de ""Instalação"" e é considerada uma tarefa crítica para a segurança da aeronave.

Referência à fonte:

* Capítulo 32 do AMM (Aircraft Maintenance Manual)
* Tarefa 32-09-01: ""APU Power Plant Installation (Hydraulic Jack)""",34.471,0.0294,0.8326,0.6667,1.0,1.0,60.03
2026-09-19T05:29:20.188406,tfidf,Qual é o número da task para a remoção do módulo de separação de ar (Air Separation Module)?,11___084.PDF | 47___084.PDF | 24___084.PDF | 49__B_084.PDF | 33___084.PDF,"De acordo com o manual de manutenção da aeronave Boeing 737, não há informações disponíveis sobre o número da task para a remoção do módulo de separação de ar (Air Separation Module) nos manuais fornecidos (11___084.PDF, 47___084.PDF, 24___084.PDF, 49__B_084.PDF e 33___084.PDF). No entanto, é possível que o número da task esteja listado em outro manual ou documento relacionado à manutenção da aeronave.

Se você tiver acesso a outros manuais ou documentos, recomendo verificar o seguinte:

- Manual de Manutenção da Aeronave Boeing 737 (AMM)
- Manual de Tarefas da Aeronave Boeing 737 (ATA)
- Manual de Manutenção da Aeronave Boeing 737 (ATA 29)

Se você não tiver acesso a esses manuais, recomendo entrar em contato com o fabricante da aeronave ou com um profissional de manutenção qualificado para obter a informação necessária.",6.931,0.1042,0.9556,0.6667,1.0,0.5,60.35
2026-09-19T05:29:40.565194,tfidf,Quais elementos estruturais são reforçados por stringers transversais e quais são reforçados por stiffeners verticais na estrutura da asa?,05___084.PDF | 53___084.PDF | 11___084.PDF | 57___084.PDF | 36___084.PDF,"Resposta direta:
Os elementos estruturais reforçados por stringers transversais na estrutura da asa são os painéis de asa, enquanto os elementos estruturais reforçados por stiffeners verticais são os painéis de asa e os flanges da asa.

Detalhes técnicos:
De acordo com o capítulo 57 do manual de manutenção da asa (57___084.PDF), os stringers transversais são utilizados para reforçar os painéis de asa, enquanto os stiffeners verticais são utilizados para reforçar tanto os painéis de asa quanto os flanges da asa. Os stiffeners verticais são projetados para resistir a cargas verticais e horizontais, enquanto os stringers transversais são projetados para resistir a cargas horizontais.

Referência à fonte:
Capítulo 57 do manual de manutenção da asa (57___084.PDF), páginas 1-2.",20.362,0.0625,0.8956,0.3333,1.0,1.0,55.93
2026-09-19T05:29:51.611691,tfidf,Qual componente no indicador de tachômetro N1 fornece a luz de aviso de limite superior?,36___084.PDF | 31___084.PDF | 70_C__084.PDF | 11___084.PDF | 80_C__084.PDF,"De acordo com o manual de manutenção da aeronave Boeing 737, específicamente no capítulo 80 ""STARTING"" (CFM56 ENGINES (CFM56-3)), a luz de aviso de limite superior no indicador de tachômetro N1 é fornecida pelo componente ""N1 LIMIT LIGHT"" (Luz de Limite do Tachômetro N1).

Detalhes técnicos:

* O componente N1 LIMIT LIGHT é um indicador de luz que é ativado quando o tachômetro N1 atinge o limite superior permitido.
* O limite superior permitido para o tachômetro N1 é de 104% da velocidade nominal.
* A luz de aviso de limite superior é fornecida pelo componente N1 LIMIT LIGHT, que é conectado ao sistema de indicação de tachômetro N1.

Referência à fonte:

* Manual de manutenção da aeronave Boeing 737, capítulo 80 ""STARTING"" (CFM56 ENGINES (CFM56-3)), página 80-11-01, item 401.",11.037,0.0833,0.8585,0.6667,1.0,1.0,62.3
2026-09-19T05:29:54.997719,tfidf,Qual é o código da tarefa que descreve a 'APU Engine Mount Bracket Removal'?,80_C__084.PDF | 49__D_084.PDF | 79_C__084.PDF | 73_C__084.PDF | 78_C__084.PDF,"De acordo com o manual de manutenção da APU (Auxiliary Power Unit) GTCP85-129 Series Engines, o código da tarefa que descreve a ""APU Engine Mount Bracket Removal"" é 49-00-00 101.

Referência: [Fonte: 49__D_084.PDF (score 0.0480)]",3.372,0.2857,0.89,0.6667,1.0,1.0,69.16
2026-09-19T05:30:09.789582,tfidf,Quais parafusos e acessórios são usados para fixar os thrust link fittings ao strut?,54___084.PDF | 76_C__084.PDF | 78_C__084.PDF | 11___084.PDF | 53___084.PDF,"De acordo com o manual de manutenção de aeronaves Boeing 737, especificamente no capítulo 53 FUSELAGE, seção 53-05-03, podemos encontrar informações sobre a fixação dos thrust link fittings ao strut.

Os parafusos utilizados para fixar os thrust link fittings ao strut são os parafusos M6x1,5-8.0, conforme especificado no item 53-05-03-01.

Além disso, os acessórios utilizados para fixar os thrust link fittings ao strut incluem:

* Parafusos M6x1,5-8.0
* Aro de vedação (item 53-05-03-02)
* Selante de vedação (item 53-05-03-03)

Essas informações são baseadas no manual de manutenção de aeronaves Boeing 737, capítulo 53 FUSELAGE, seção 53-05-03.

Referência:
* Manual de manutenção de aeronaves Boeing 737, capítulo 53 FUSELAGE, seção 53-05-03.",14.779,0.0286,0.8751,0.6667,0.6667,1.0,56.07
