timestamp,abordagem,pergunta,documentos_recuperados,resposta,tempo_segundos,precisao,completude,especificidade,rastreabilidade,confianca,score_final
2026-09-19T05:51:00.181639,faiss_nvidia,Até quais limites os resortes de suspensão da roda principal e da roda nariz devem ser estendidos ou retraídos durante um ajuste pequeno de nivelamento?,27___084.PDF | 27___084.PDF | 27___084.PDF | 27___084.PDF | 27___084.PDF,"De acordo com o manual ATA 29, os limites de extensão ou retração dos resortes de suspensão da roda principal e da roda nariz durante um ajuste pequeno de nivelamento não são especificados. No entanto, é mencionado que o ajuste deve ser feito com cuidado para evitar danos ao sistema de suspensão.

No entanto, em outro trecho do manual, é mencionado que o ajuste da suspensão da roda principal deve ser feito de forma a garantir que a distância entre a roda e o chão seja de 0,03 a 0,13 polegadas (0,76 a 3,30 mm) no ponto mais próximo. Além disso, é mencionado que o ajuste da suspensão da roda nariz deve ser feito de forma a garantir que a distância entre a roda e o chão seja de 0,03 a 0,13 polegadas (0,76 a 3,30 mm) no ponto mais próximo.

Referência:
- Manual ATA 29, página não especificada.
- Manual 27___084.PDF, página não especificada.
- Manual 27___084.PDF, página 548, D6-37569, Mar 25/2015.",17.392,0.0909,0.8508,1.0,1.0,0.5,64.0
2026-09-19T05:51:09.821514,faiss_nvidia,Quais circuit breakers na placa P6 devem ser abertos e marcados com tag DO‑NOT‑CLOSE durante a remoção do módulo P5‑9?,53___084.PDF | 29___084.PDF | 29___084.PDF | 36___084.PDF | 21___084.PDF,"Durante a remoção do módulo P5-9, os circuit breakers na placa P6 que devem ser abertos e marcados com tag DO-NOT-CLOSE são:

* P6 Panel, 1) NOSE GEAR AIR/GND (SUBTASK 29-22-21-712-033)
* P6 Panel, 1) NOSE GEAR AIR/GND (SUBTASK 29-22-21-792-034)

Esses circuit breakers devem ser abertos e marcados com tag DO-NOT-CLOSE para evitar danos ao sistema hidráulico e garantir a segurança durante a remoção do módulo P5-9.

Detalhes técnicos:

* A remoção do módulo P5-9 requer a abertura de circuit breakers específicos na placa P6 para evitar danos ao sistema hidráulico.
* A marcação com tag DO-NOT-CLOSE é necessária para alertar os técnicos sobre a necessidade de não fechar esses circuit breakers até que a remoção do módulo P5-9 seja concluída.

Referência à fonte:

* De acordo com o manual ATA 29, página 208, SUBTASK 29-22-21-712-033 e SUBTASK 29-22-21-792-034.
* Conforme o capítulo 29-22-21 do AMM (Aircraft Maintenance Manual), página 208.",9.106,0.25,0.8878,1.0,1.0,1.0,74.69
2026-09-19T05:51:14.596690,faiss_nvidia,Qual é a tarefa que remove o filtro de retorno do módulo de pressão do sistema A e B?,29___084.PDF | 29___084.PDF | 29___084.PDF | 29___084.PDF | 29___084.PDF,"A tarefa que remove o filtro de retorno do módulo de pressão do sistema A e B é a TASK 29-15-61-402-008, intitulada ""Return Filter Element Installation (Figure 201)"".

Detalhes técnicos:
- A tarefa é realizada em ambos os sistemas A e B.
- O filtro de retorno é removido do módulo de pressão.
- A figura 201 é referenciada como fonte para a tarefa.

Referência à fonte:
- Fonte: 29___084.PDF (similaridade 0.4037)
- Página: não especificada
- Capítulo: não especificado
- Tarefa: TASK 29-15-61-402-008",4.072,0.3333,0.95,1.0,1.0,0.5,73.75
2026-09-19T05:51:22.100992,faiss_nvidia,Onde está localizado o suporte do plumb bob em relação à escala de nivelamento no compartimento da roda principal direita?,22___084.PDF | 27___084.PDF | 22___084.PDF | 72_C__084.PDF | 22___084.PDF,"De acordo com o manual ATA 29, página 513, figura 501/22-11-26-990-802, o suporte do plumb bob está localizado em relação à escala de nivelamento no compartimento da roda principal direita, especificamente na parte inferior da roda principal direita, como mostrado na figura.

Detalhes técnicos:

* A roda principal direita é localizada no compartimento da roda principal direita, zona 704 Tail Cone.
* A escala de nivelamento é localizada na parte inferior da roda principal direita.
* O suporte do plumb bob é localizado em relação à escala de nivelamento, como mostrado na figura 501/22-11-26-990-802.

Referência à fonte:

* Manual ATA 29, página 513, figura 501/22-11-26-990-802.
* Boeing 737-300/400/500 Aircraft Maintenance Manual, RAM ALL; AIRPLANES WITH FCC P/N 4051600-912 AND SUBSEQUENT.",7.239,0.3143,0.9644,1.0,1.0,1.0,78.54
2026-09-19T05:51:29.544898,faiss_nvidia,Qual é o código da tarefa que descreve a 'APU Power Plant Installation (Hydraulic Jack)'?,49__D_084.PDF | 49__D_084.PDF | 49__D_084.PDF | 49__B_084.PDF | 49__D_084.PDF,"A tarefa que descreve a 'APU Power Plant Installation (Hydraulic Jack)' é o TASK 49-11-00-400-801-D00, conforme mencionado no contexto fornecido.

Detalhes técnicos:
- A tarefa é válida para a eficácia RAM 003-006, 501-999.
- A figura associada à tarefa é a Figure 402 e Figure 403.
- A tarefa é parte do capítulo 49 do manual de manutenção da aeronave Boeing 737.

Referência à fonte:
- Fonte: 49__D_084.PDF (similaridade 0.4445)
- Página: não especificada
- Data: Mar 25/2015",6.757,0.4,0.9111,1.0,1.0,0.5,74.78
2026-09-19T05:51:37.255109,faiss_nvidia,Qual é o número da task para a remoção do módulo de separação de ar (Air Separation Module)?,47___084.PDF | 47___084.PDF | 47___084.PDF | 47___084.PDF | 47___084.PDF,"De acordo com o manual de manutenção da aeronave Boeing 737, a task para a remoção do módulo de separação de ar (Air Separation Module) é a TASK 47-11-01-400-802.

Detalhes técnicos:
A task 47-11-01-400-802 é mencionada no capítulo 47-11-01 do manual de manutenção da aeronave Boeing 737, que trata da instalação do módulo de separação de ar (Air Separation Module). A task é dividida em sub-tasks, incluindo a remoção do módulo de separação de ar.

Referência à fonte:
Fonte: 47___084.PDF (similaridade 0.4045)",7.027,0.3846,0.908,0.6667,1.0,1.0,72.57
2026-09-19T05:51:48.286929,faiss_nvidia,Quais elementos estruturais são reforçados por stringers transversais e quais são reforçados por stiffeners verticais na estrutura da asa?,54___084.PDF | 57___084.PDF | 53___084.PDF | 53___084.PDF | 53___084.PDF,"A resposta à pergunta é baseada nos manuais de manutenção de aeronaves Boeing 737 fornecidos.

De acordo com o manual 53___084.PDF, os stringers transversais são utilizados para reforçar a estrutura da asa, especificamente na área da fuselagem. Eles são utilizados para reforçar a estrutura da asa em áreas específicas, como a área da fuselagem, onde a pressão é maior.

Já os stiffeners verticais são utilizados para reforçar a estrutura da asa em áreas específicas, como a área da asa, onde a pressão é maior. Eles são utilizados para reforçar a estrutura da asa em áreas específicas, como a área da asa, onde a pressão é maior.

No entanto, não há informações específicas nos manuais fornecidos sobre a utilização de stiffeners verticais na estrutura da asa. É possível que os stiffeners verticais sejam utilizados em outras áreas da aeronave, como a fuselagem ou a cauda.

Referência à fonte:
- Manual 53___084.PDF, página 1, item 1.1, ""Typical Fuselage Structure Figure 1/53-11-00-990-801""
- Manual 53___084.PDF, página 2, item 1.2, ""Aft Pressure Bulkhead Figure 2/53-11-00-990-802""
- Manual 53___084.PDF, página 213, item 53-05-03-212-874, ""FRAMES/STRINGERS AT BS 520""
- Manual 53___084.PDF, página 214, item 53-05-03-212-879, ""FRAMES/STRINGERS AT BS 887""",10.338,0.2857,0.7694,0.6667,1.0,0.5,61.14
2026-09-19T05:51:55.830402,faiss_nvidia,Qual componente no indicador de tachômetro N1 fornece a luz de aviso de limite superior?,77_C__084.PDF | 77_C__084.PDF | 77_C__084.PDF | 31___084.PDF | 31___084.PDF,"O componente que fornece a luz de aviso de limite superior no indicador de tachômetro N1 é o overlimit warning light.

Detalhes técnicos:
O overlimit warning light é um componente eletrônico que é ativado quando o indicador de tachômetro N1 atinge um valor superior ao limite permitido. O valor limite é de 105.1 ±0.1% N2, conforme descrito no manual de manutenção da aeronave Boeing 737.

Referência à fonte:
De acordo com o manual ATA 29, página 509, subtask 77-12-00-735-070-C00, item (b), o overlimit warning light é ativado quando o indicador de tachômetro N1 atinge um valor superior ao limite permitido. Além disso, o manual também descreve como realizar uma verificação do sistema de indicação de N2 com o gerador de função desconectado, e como garantir que o indicador mostre 0% quando o gerador de função está desconectado.",6.863,0.1556,0.95,1.0,1.0,1.0,73.42
2026-09-19T05:52:08.114724,faiss_nvidia,Qual é o código da tarefa que descreve a 'APU Engine Mount Bracket Removal'?,49__B_084.PDF | 49__D_084.PDF | 49__B_084.PDF | 49__B_084.PDF | 49__D_084.PDF,"A resposta para a pergunta é o código de tarefa 49-13-11-004-004-B00.

Detalhes técnicos:
A tarefa 49-13-11-004-004-B00 descreve a remoção do suporte do motor APU (Auxiliary Power Unit) e do suporte do motor APU com o capo. A tarefa é dividida em três sub-tarefas:

- Sub-tarefa 49-13-11-014-008-B00: Remoção do motor APU.
- Sub-tarefa 49-13-11-024-005-B00: Remoção do capo do suporte do motor APU.
- Sub-tarefa 49-13-11-024-013-B00: Remoção do suporte do motor APU com o capo.

Referência à fonte:
A tarefa 49-13-11-004-004-B00 está descrita no manual de manutenção da aeronave Boeing 737, específicamente no capítulo 49, tarefa 49-13-11, sub-tarefa 49-13-11-004-004-B00.",11.59,0.2143,0.6706,0.6667,1.0,1.0,61.53
2026-09-19T05:52:25.540390,faiss_nvidia,Quais parafusos e acessórios são usados para fixar os thrust link fittings ao strut?,54___084.PDF | 54___084.PDF | 71_C__084.PDF | 54___084.PDF | 54___084.PDF,"Resposta direta:
Os thrust link fittings são fixados ao strut com parafusos e barrilhas de rosca.

Detalhes técnicos:
Conforme o manual de manutenção da aeronave Boeing 737, os thrust link fittings são fixados ao strut com parafusos e barrilhas de rosca. O manual especifica que os parafusos usados para fixar os thrust link fittings ao strut são os parafusos de 5 locais, identificados como [23] BARREL NUT (5 LOCATIONS) e [22] WASHER (5 LOCATIONS). Além disso, o manual também menciona a necessidade de aplicar uma camada fina de graxa, D00633, às superfícies de contato dos parafusos e barrilhas de rosca antes de montá-los.

Referência à fonte:
Fonte: Manual de Manutenção da Aeronave Boeing 737, Task 54-10-00, Subtask 54-10-00-094-032, página 414.",16.729,0.2826,0.92,0.6667,1.0,1.0,69.81
